Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Arachidonic acid metabolism",1562,NA,27,4,169,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1562,NA,27,4,170,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1562,NA,27,4,171,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1558,NA,27,4,172,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1558,NA,27,4,173,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1558,NA,27,4,174,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1558,NA,27,4,175,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1559,CYP2C9,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1559,CYP2C9,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1559,CYP2C9,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1559,CYP2C9,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1565,CYP2D6,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1565,CYP2D6,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1565,CYP2D6,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1565,CYP2D6,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1572,NA,27,4,184,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1572,NA,27,4,185,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1572,NA,27,4,186,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1572,NA,27,4,187,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",64816,NA,27,4,188,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",64816,NA,27,4,189,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",64816,NA,27,4,190,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",64816,NA,27,4,191,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1577,NA,27,4,192,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1577,NA,27,4,193,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1577,NA,27,4,194,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1577,NA,27,4,195,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1551,NA,27,4,196,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1551,NA,27,4,197,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1551,NA,27,4,198,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1551,NA,27,4,199,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",66002,NA,27,4,200,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",66002,NA,27,4,201,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",66002,NA,27,4,202,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",66002,NA,27,4,203,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",4051,NA,27,0,204,NA,
"Arachidonic acid metabolism",8529,NA,27,0,205,NA,
"Arachidonic acid metabolism",9588,NA,27,0,206,NA,
"Arachidonic acid metabolism",9588,NA,27,0,207,NA,
"Arachidonic acid metabolism",1580,NA,27,4,208,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1580,NA,27,4,209,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
